a0:18:28:33:34:f8,8/16/17 7:03,8/16/17 7:34,,a0:18:28:33:34:f8,8/16/17 7:03,8/16/17 7:33
a0:18:28:33:34:f8,8/16/17 15:44,8/16/17 16:12,,a0:18:28:33:34:f8,8/16/17 15:44,8/16/17 16:10
b4:75:0e:0d:33:d5,8/16/17 7:02,8/16/17 16:50,,a0:18:28:33:34:f8,8/16/17 16:20,8/16/17 16:50
ec:4f:82:73:d1:1c,8/16/17 7:02,8/16/17 16:50,,,,
b4:75:0e:0d:94:65,8/16/17 7:03,8/16/17 16:50,,,,587
14:91:82:c8:6a:09,8/16/17 7:03,8/16/17 16:50,,,,
b8:27:eb:09:1a:81,8/16/17 7:02,8/16/17 16:50,,,,
ec:1a:59:e4:fd:41,8/16/17 7:02,8/16/17 16:50,,,,
14:91:82:24:dd:35,8/16/17 7:02,8/16/17 16:50,,,,
08:66:98:ed:1e:19,8/16/17 7:03,8/16/17 16:50,,,,
ec:1a:59:f1:fb:21,8/16/17 7:02,8/16/17 16:50,,,,
94:10:3e:2b:7a:55,8/16/17 7:02,8/16/17 16:50,,,,
a0:18:28:33:34:f8,8/16/17 16:20,8/16/17 16:50,,,,
60:38:e0:ee:7c:e5,8/16/17 7:02,8/16/17 16:50,,,,